Time,Sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
2000,Both sexes combined,615666,608770,626883,568145,517287,505356,478114,428112,373778,336199,264787,209514,188677,153220,118485,78789,42357,21140,6740,1327,151
2000,Female,297524,294721,304908,277326,253615,248521,235955,211272,184962,167017,132980,105959,97026,80659,65038,46157,26131,14206,4926,1033,123
2000,Male,318141,314049,321975,290819,263671,256835,242158,216840,188816,169182,131807,103555,91650,72561,53447,32633,16226,6934,1814,294,27
2005,Both sexes combined,627238,607187,606629,622164,560548,511318,499702,471989,420747,364457,325570,253710,195777,169123,129306,90869,52636,22665,8321,1744,208
2005,Female,302684,293423,293769,302955,274399,251351,246135,233387,208211,181232,163015,128637,100378,88844,70151,52051,32442,14859,5981,1350,168
2005,Male,324554,313764,312860,319208,286149,259967,253567,238602,212536,183226,162554,125073,95399,80279,59155,38818,20194,7806,2341,394,39
2010,Both sexes combined,652014,619555,604972,602028,613689,555351,506150,494465,465073,412943,354590,312065,237241,177320,144462,100725,62689,29495,9399,2305,294
2010,Female,314830,298887,292351,291785,299587,272497,249103,243874,230557,205214,177498,157643,121964,92683,78081,56919,37766,19278,6607,1760,237
2010,Male,337184,320668,312621,310243,314102,282854,257046,250592,234515,207729,177092,154422,115278,84638,66381,43806,24923,10217,2792,545,57
2015,Both sexes combined,670674,644706,615946,601644,597563,609086,550414,500480,487733,456777,402233,340945,294050,216166,153429,114720,70755,36351,12920,2790,417
2015,Female,324426,311370,297197,290910,290007,297822,270534,247008,241397,227488,201180,172316,150610,113307,82435,64521,41933,23211,9009,2087,332
2015,Male,346247,333336,318749,310734,307555,311265,279880,253472,246335,229289,201053,168629,143440,102859,70994,50199,28822,13141,3911,703,85
2020,Both sexes combined,677942,664439,641267,612196,597388,594692,605531,544819,493789,479366,445773,387849,322142,269644,188677,123782,81930,42186,16680,4134,573
2020,Female,328509,321512,309770,295554,289101,288633,296294,268372,244399,238133,223163,195634,164961,140704,101491,69027,48281,26429,11352,3056,449
2020,Male,349433,342928,331497,316642,308287,306059,309237,276447,249390,241233,222610,192215,157180,128939,87186,54755,33649,15757,5328,1078,124
